,file,date,time,magnification,community,replicate,measure_point,Tet,Pca,Col,Ble,Ble_shadow,hours
1,sample_0001,2019-01-14,10,1,Tet,1,t0,509.702647199482,0,0,0,0,0
2,sample_0002,2019-01-14,10,1,Tet,2,t0,509.702647199482,0,0,0,0,0
3,sample_0003,2019-01-14,10,1,Tet,3,t0,509.702647199482,0,0,0,0,0
4,sample_0004,2019-01-14,10,1,Pca,1,t0,0,8.58581596196585,0,0,0,0
5,sample_0005,2019-01-14,10,1,Pca,2,t0,0,8.58581596196585,0,0,0,0
6,sample_0006,2019-01-14,10,1,Pca,3,t0,0,8.58581596196585,0,0,0,0
7,sample_0007,2019-01-14,10,1,Col,1,t0,0,0,90.0188482853687,0,0,0
8,sample_0008,2019-01-14,10,1,Col,2,t0,0,0,90.0188482853687,0,0,0
9,sample_0009,2019-01-14,10,1,Col,3,t0,0,0,90.0188482853687,0,0,0
10,sample_0010,2019-01-14,10,1,Ble,1,t0,0,0,0,1.64008214476608,0,0
11,sample_0011,2019-01-14,10,1,Ble,2,t0,0,0,0,1.64008214476608,0,0
12,sample_0012,2019-01-14,10,1,Ble,3,t0,0,0,0,1.64008214476608,0,0
13,sample_0013,2019-01-14,10,1,Ble_Tet,1,t0,509.702647199482,0,0,1.64008214476608,0,0
14,sample_0014,2019-01-14,10,1,Ble_Tet,2,t0,509.702647199482,0,0,1.64008214476608,0,0
15,sample_0015,2019-01-14,10,1,Ble_Tet,3,t0,509.702647199482,0,0,1.64008214476608,0,0
16,sample_0016,2019-01-14,10,1,Ble_Pca,1,t0,0,8.58581596196585,0,1.64008214476608,0,0
17,sample_0017,2019-01-14,10,1,Ble_Pca,2,t0,0,8.58581596196585,0,1.64008214476608,0,0
18,sample_0018,2019-01-14,10,1,Ble_Pca,3,t0,0,8.58581596196585,0,1.64008214476608,0,0
19,sample_0019,2019-01-14,10,1,Ble_Col,1,t0,0,0,90.0188482853687,1.64008214476608,0,0
20,sample_0020,2019-01-14,10,1,Ble_Col,2,t0,0,0,90.0188482853687,1.64008214476608,0,0
21,sample_0021,2019-01-14,10,1,Ble_Col,3,t0,0,0,90.0188482853687,1.64008214476608,0,0
22,sample_0022,2019-01-14,10,1,Tet_Ble_Pca,1,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
23,sample_0023,2019-01-14,10,1,Tet_Ble_Pca,2,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
24,sample_0024,2019-01-14,10,1,Tet_Ble_Pca,3,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
25,sample_0025,2019-01-14,10,1,Tet_Ble_Col,1,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
26,sample_0026,2019-01-14,10,1,Tet_Ble_Col,2,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
27,sample_0027,2019-01-14,10,1,Tet_Ble_Col,3,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
28,sample_0001,2019-01-14,17,1,Tet,1,t1,1424.53652910232,0,0,0,0,7
29,sample_0002,2019-01-14,17,1,Tet,2,t1,912.031957689819,0,0,0,0,7
30,sample_0003,2019-01-14,17,1,Tet,3,t1,724.786901848257,0,0,0,0,7
31,sample_0004,2019-01-14,17,1,Pca,1,t1,0,0,0,0,0,7
32,sample_0005,2019-01-14,17,1,Pca,2,t1,0,8.32700368526177,0,0,0,7
33,sample_0006,2019-01-14,17,1,Pca,3,t1,0,1.40658846034827,0,0,0,7
34,sample_0007,2019-01-14,17,1,Col,1,t1,0,0,164.402059245506,0,0,7
35,sample_0008,2019-01-14,17,1,Col,2,t1,0,0,204.292907980983,0,0,7
36,sample_0009,2019-01-14,17,1,Col,3,t1,0,0,147.410470644499,0,0,7
37,sample_0010,2019-01-14,17,1,Ble,1,t1,0,0,0,8.49579430050356,0,7
38,sample_0011,2019-01-14,17,1,Ble,2,t1,0,0,0,0,0,7
39,sample_0012,2019-01-14,17,1,Ble,3,t1,0,0,0,5.40129968773736,0,7
40,sample_0013,2019-01-14,17,1,Ble_Tet,1,t1,636.565673615214,0,0,5.79514445663488,0,7
41,sample_0014,2019-01-14,17,1,Ble_Tet,2,t1,1091.90648999916,0,0,0,0,7
42,sample_0015,2019-01-14,17,1,Ble_Tet,3,t1,947.984358736321,0,0,0,0,7
43,sample_0016,2019-01-14,17,1,Ble_Pca,1,t1,0,13.6720398345852,0,0,0,7
44,sample_0017,2019-01-14,17,1,Ble_Pca,2,t1,0,0,0,0,0,7
45,sample_0018,2019-01-14,17,1,Ble_Pca,3,t1,0,8.66458491574535,0,0,0,7
46,sample_0019,2019-01-14,17,1,Ble_Col,1,t1,0,0,139.308521112893,8.49579430050356,0,7
47,sample_0020,2019-01-14,17,1,Ble_Col,2,t1,0,0,116.296733901595,0,0,7
48,sample_0021,2019-01-14,17,1,Ble_Col,3,t1,0,0,105.156553295637,0,0,7
49,sample_0022,2019-01-14,17,1,Tet_Ble_Pca,1,t1,813.683292542268,12.8280867583762,0,0,0,7
50,sample_0023,2019-01-14,17,1,Tet_Ble_Pca,2,t1,798.548400708921,21.7177258277773,0,0,0,7
51,sample_0024,2019-01-14,17,1,Tet_Ble_Pca,3,t1,1040.14403465834,7.98942245477818,0,0,0,7
52,sample_0025,2019-01-14,17,1,Tet_Ble_Col,1,t1,971.952626100656,0,91.0344051537401,0,0,7
53,sample_0026,2019-01-14,17,1,Tet_Ble_Col,2,t1,814.977353925788,0,52.5501448786114,0,0,7
54,sample_0027,2019-01-14,17,1,Tet_Ble_Col,3,t1,802.486848397896,0,160.913719863842,0,0,7
55,sample_0001,2019-01-15,10,1,Tet,1,t2,2718.42912200748,0,0,0,0,24
56,sample_0002,2019-01-15,10,1,Tet,2,t2,2997.44000900217,0,0,0,0,24
57,sample_0003,2019-01-15,10,1,Tet,3,t2,2013.95335752666,0,0,0,0,24
58,sample_0004,2019-01-15,10,1,Pca,1,t2,0,0,0,0,0,24
59,sample_0005,2019-01-15,10,1,Pca,2,t2,0,8.83337553098714,0,0,0,24
60,sample_0006,2019-01-15,10,1,Pca,3,t2,0,3.0944946127662,0,0,0,24
61,sample_0007,2019-01-15,10,1,Col,1,t2,0,0,116.465524516837,0,0,24
62,sample_0008,2019-01-15,10,1,Col,2,t2,0,0,125.130109432582,0,0,24
63,sample_0009,2019-01-15,10,1,Col,3,t2,0,0,147.072889414015,0,0,24
64,sample_0010,2019-01-15,10,1,Ble,1,t2,0,0,0,8.60832137733142,0,24
65,sample_0011,2019-01-15,10,1,Ble,2,t2,0,0,0,16.9353250625932,0,24
66,sample_0012,2019-01-15,10,1,Ble,3,t2,0,0,0,0,0,24
67,sample_0013,2019-01-15,10,1,Ble_Tet,1,t2,2332.06740371902,0,0,0,0,24
68,sample_0014,2019-01-15,10,1,Ble_Tet,2,t2,1965.34166033702,0,0,17.104115677835,0,24
69,sample_0015,2019-01-15,10,1,Ble_Tet,3,t2,2264.43863054548,0,0,4.89492784201198,0,24
70,sample_0016,2019-01-15,10,1,Ble_Pca,1,t2,0,0,0,0,0,24
71,sample_0017,2019-01-15,10,1,Ble_Pca,2,t2,0,10.8025993754747,0,12.2654513742369,0,24
72,sample_0018,2019-01-15,10,1,Ble_Pca,3,t2,0,0,0,0,0,24
73,sample_0019,2019-01-15,10,1,Ble_Col,1,t2,0,0,86.9271668495232,8.49579430050356,0,24
74,sample_0020,2019-01-15,10,1,Ble_Col,2,t2,0,0,183.137817537345,3.60086645849157,0,24
75,sample_0021,2019-01-15,10,1,Ble_Col,3,t2,0,0,162.826680169916,4.78240076518412,0,24
76,sample_0022,2019-01-15,10,1,Tet_Ble_Pca,1,t2,2840.29594621206,14.628519987622,0,8.21447660843391,0,24
77,sample_0023,2019-01-15,10,1,Tet_Ble_Pca,2,t2,2563.59186429235,17.104115677835,0,1.63164261400399,0,24
78,sample_0024,2019-01-15,10,1,Tet_Ble_Pca,3,t2,2158.66317832729,0,0,8.43953076208963,0,24
79,sample_0025,2019-01-15,10,1,Tet_Ble_Col,1,t2,2276.87287253495,0,179.536951078853,0,0,24
80,sample_0026,2019-01-15,10,1,Tet_Ble_Col,2,t2,2211.94474920528,0,193.827889835992,0,0,24
81,sample_0027,2019-01-15,10,1,Tet_Ble_Col,3,t2,2440.71229639632,0,124.061102202718,4.83866430359805,0,24
82,sample_0001,2019-01-15,17,1,Tet,1,t3,5556.19320899091,0,0,0,0,31
83,sample_0002,2019-01-15,17,1,Tet,2,t3,4736.20840014629,0,0,0,0,31
84,sample_0003,2019-01-15,17,1,Tet,3,t3,5600.36008664585,0,0,0,0,31
85,sample_0004,2019-01-15,17,1,Pca,1,t3,0,0,0,0,0,31
86,sample_0005,2019-01-15,17,1,Pca,2,t3,0,5.73888091822095,0,0,0,31
87,sample_0006,2019-01-15,17,1,Pca,3,t3,0,7.25799645539708,0,0,0,31
88,sample_0007,2019-01-15,17,1,Col,1,t3,0,0,256.280417475455,0,0,31
89,sample_0008,2019-01-15,17,1,Col,2,t3,0,0,330.21070695136,0,0,31
90,sample_0009,2019-01-15,17,1,Col,3,t3,0,0,252.62328747855,0,0,31
91,sample_0010,2019-01-15,17,1,Ble,1,t3,0,0,0,0,0,31
92,sample_0011,2019-01-15,17,1,Ble,2,t3,0,0,0,16.9915886010071,0,31
93,sample_0012,2019-01-15,17,1,Ble,3,t3,0,0,0,0,0,31
94,sample_0013,2019-01-15,17,1,Ble_Tet,1,t3,3412.21481418966,0,0,0,0,31
95,sample_0014,2019-01-15,17,1,Ble_Tet,2,t3,3311.33428981349,0,0,0,0,31
96,sample_0015,2019-01-15,17,1,Ble_Tet,3,t3,3916.61743607055,0,0,0,0,31
97,sample_0016,2019-01-15,17,1,Ble_Pca,1,t3,0,0,0,0,0,31
98,sample_0017,2019-01-15,17,1,Ble_Pca,2,t3,0,4.61361014994233,0,0,0,31
99,sample_0018,2019-01-15,17,1,Ble_Pca,3,t3,0,13.8970939882409,0,8.49579430050356,0,31
100,sample_0019,2019-01-15,17,1,Ble_Col,1,t3,0,0,227.304695192281,0,0,31
101,sample_0020,2019-01-15,17,1,Ble_Col,2,t3,0,0,245.47781809998,0,0,31
102,sample_0021,2019-01-15,17,1,Ble_Col,3,t3,0,0,293.076771598166,0,0,31
103,sample_0022,2019-01-15,17,1,Tet_Ble_Pca,1,t3,3549.6666385349,20.9862998283962,0,0,0,31
104,sample_0023,2019-01-15,17,1,Tet_Ble_Pca,2,t3,3392.80389343686,7.03294230174136,0,0,0,31
105,sample_0024,2019-01-15,17,1,Tet_Ble_Pca,3,t3,3605.817649872,9.17095676147073,0,0,0,31
106,sample_0025,2019-01-15,17,1,Tet_Ble_Col,1,t3,3243.87430725518,0,212.788702281487,7.4830506090528,0,31
107,sample_0026,2019-01-15,17,1,Tet_Ble_Col,2,t3,2787.5770107182,0,297.184009902383,0,0,31
108,sample_0027,2019-01-15,17,1,Tet_Ble_Col,3,t3,3015.66939544828,0,294.933468365826,0,0,31
109,sample_0001,2019-01-16,10,1,Tet,1,t4,5843.58736320927,0,0,0,0,48
110,sample_0002,2019-01-16,10,1,Tet,2,t4,4600.5570090303,0,0,0,0,48
111,sample_0003,2019-01-16,10,1,Tet,3,t4,6382.36700706107,0,0,0,0,48
112,sample_0004,2019-01-16,10,1,Pca,1,t4,0,25.4873829015107,0,0,0,48
113,sample_0005,2019-01-16,10,1,Pca,2,t4,0,0,0,0,0,48
114,sample_0006,2019-01-16,10,1,Pca,3,t4,0,0,0,0,0,48
115,sample_0007,2019-01-16,10,1,Col,1,t4,0,0,766.872028581878,0,0,48
116,sample_0008,2019-01-16,10,1,Col,2,t4,0,0,680.845078346977,0,0,48
117,sample_0009,2019-01-16,10,1,Col,3,t4,0,0,746.673418291276,0,0,48
118,sample_0010,2019-01-16,10,1,Ble,1,t4,0,0,0,6.58283399442991,0,48
119,sample_0011,2019-01-16,10,1,Ble,2,t4,0,0,0,8.49579430050356,0,48
120,sample_0012,2019-01-16,10,1,Ble,3,t4,0,0,0,8.55205783891749,0,48
121,sample_0013,2019-01-16,10,1,Ble_Tet,1,t4,4852.67392466312,0,0,0,0,48
122,sample_0014,2019-01-16,10,1,Ble_Tet,2,t4,4556.84023968267,0,0,0,0,48
123,sample_0015,2019-01-16,10,1,Ble_Tet,3,t4,5473.76712521451,0,0,0,0,48
124,sample_0016,2019-01-16,10,1,Ble_Pca,1,t4,0,20.5924550594987,0,0,0,48
125,sample_0017,2019-01-16,10,1,Ble_Pca,2,t4,0,16.4852167552817,0,0,0,48
126,sample_0018,2019-01-16,10,1,Ble_Pca,3,t4,0,17.3291698314907,0,0,0,48
127,sample_0019,2019-01-16,10,1,Ble_Col,1,t4,0,0,884.237769713337,0,0,48
128,sample_0020,2019-01-16,10,1,Ble_Col,2,t4,0,0,852.842715278364,0,0,48
129,sample_0021,2019-01-16,10,1,Ble_Col,3,t4,0,0,686.527695726784,0,0,48
130,sample_0022,2019-01-16,10,1,Tet_Ble_Pca,1,t4,3819.73162292177,0.900216614622894,0,8.3832672236757,0,48
131,sample_0023,2019-01-16,10,1,Tet_Ble_Pca,2,t4,5276.73221368892,18.3981770613554,0,28.9757222831744,0,48
132,sample_0024,2019-01-16,10,1,Tet_Ble_Pca,3,t4,5021.07069513602,20.9300362899823,0,0,0,48
133,sample_0025,2019-01-16,10,1,Tet_Ble_Col,1,t4,4950.40369088812,0,541.255239542015,0,0,48
134,sample_0026,2019-01-16,10,1,Tet_Ble_Col,2,t4,5201.28280867584,0,473.795256983712,0,0,48
135,sample_0027,2019-01-16,10,1,Tet_Ble_Col,3,t4,4352.49106816328,0,478.858975440966,0,0,48
136,sample_0001,2019-01-17,10,1,Tet,1,t5,4694.62964525839,0,0,0,0,72
137,sample_0002,2019-01-17,10,1,Tet,2,t5,5653.75418460067,0,0,0,0,72
138,sample_0003,2019-01-17,10,1,Tet,3,t5,7455.03136692267,0,0,0,0,72
139,sample_0004,2019-01-17,10,1,Pca,1,t5,0,73.3676540917658,0,0,0,72
140,sample_0005,2019-01-17,10,1,Pca,2,t5,0,77.4748923959828,0,0,0,72
141,sample_0006,2019-01-17,10,1,Pca,3,t5,0,72.1298562466594,0,0,0,72
142,sample_0007,2019-01-17,10,1,Col,1,t5,0,0,1432.30089740344,0,0,72
143,sample_0008,2019-01-17,10,1,Col,2,t5,0,0,1561.25692744817,0,0,72
144,sample_0009,2019-01-17,10,1,Col,3,t5,0,0,1530.03066362844,0,0,72
145,sample_0010,2019-01-17,10,1,Ble,1,t5,0,0,0,11.8716066053394,1.51911553717613,72
146,sample_0011,2019-01-17,10,1,Ble,2,t5,0,0,0,8.49579430050356,0,72
147,sample_0012,2019-01-17,10,1,Ble,3,t5,0,0,0,0,0,72
148,sample_0013,2019-01-17,10,1,Ble_Tet,1,t5,6561.34132275579,0,0,0,0,72
149,sample_0014,2019-01-17,10,1,Ble_Tet,2,t5,6382.8733789068,0,0,0,0,72
150,sample_0015,2019-01-17,10,1,Ble_Tet,3,t5,5832.55970968014,0,0,0,0,72
151,sample_0016,2019-01-17,10,1,Ble_Pca,1,t5,0,101.893268067629,0,15.0786282949335,0,72
152,sample_0017,2019-01-17,10,1,Ble_Pca,2,t5,0,112.752130981517,0,6.30151630236026,0,72
153,sample_0018,2019-01-17,10,1,Ble_Pca,3,t5,0,64.0279067150533,0,1.57537907559006,0,72
154,sample_0019,2019-01-17,10,1,Ble_Col,1,t5,0,0,1551.6921259178,0,0,72
155,sample_0020,2019-01-17,10,1,Ble_Col,2,t5,0,0,1392.52257574479,0,0,72
156,sample_0021,2019-01-17,10,1,Ble_Col,3,t5,0,0,1367.14771992011,0,0,72
157,sample_0022,2019-01-17,10,1,Tet_Ble_Pca,1,t5,5073.28325878415,101.386896221903,0,0,0,72
158,sample_0023,2019-01-17,10,1,Tet_Ble_Pca,2,t5,5006.49843868681,134.807438039778,0,8.21447660843391,0,72
159,sample_0024,2019-01-17,10,1,Tet_Ble_Pca,3,t5,4397.72695304808,110.332798829718,0,0,0,72
160,sample_0025,2019-01-17,10,1,Tet_Ble_Col,1,t5,3653.41660337019,0,1383.74546375222,0,0,72
161,sample_0026,2019-01-17,10,1,Tet_Ble_Col,2,t5,3572.62216220778,0,1315.55405519453,0,0,72
162,sample_0027,2019-01-17,10,1,Tet_Ble_Col,3,t5,3448.05468815934,0,1044.25127296256,0,0,72
163,sample_0001,2019-01-18,10,1,Tet,1,t6,3323.31842349565,0,0,0,0,96
164,sample_0002,2019-01-18,10,1,Tet,2,t6,5381.38239513883,0,0,0,0,96
165,sample_0003,2019-01-18,10,1,Tet,3,t6,6840.68979098095,0,0,0,0,96
166,sample_0004,2019-01-18,10,1,Pca,1,t6,0,180.380904155062,0,0,0,96
167,sample_0005,2019-01-18,10,1,Pca,2,t6,0,113.764874672968,0,0,0,96
168,sample_0006,2019-01-18,10,1,Pca,3,t6,0,102.568430528596,0,0,0,96
169,sample_0007,2019-01-18,10,1,Col,1,t6,0,0,1577.74214420345,0,0,96
170,sample_0008,2019-01-18,10,1,Col,2,t6,0,0,1593.04582665204,0,0,96
171,sample_0009,2019-01-18,10,1,Col,3,t6,0,0,1452.38698061721,0,0,96
172,sample_0010,2019-01-18,10,1,Ble,1,t6,0,0,0,8.77711199257321,2.1942779981433,96
173,sample_0011,2019-01-18,10,1,Ble,2,t6,0,0,0,6.86415168649956,1.35032492193434,96
174,sample_0012,2019-01-18,10,1,Ble,3,t6,0,0,0,16.6540073705235,9.62106506878218,96
175,sample_0013,2019-01-18,10,1,Ble_Tet,1,t6,5919.88072129856,0,0,18.9608124454947,4.44481953470054,96
176,sample_0014,2019-01-18,10,1,Ble_Tet,2,t6,6145.55377387684,0,0,0,2.64438630545475,96
177,sample_0015,2019-01-18,10,1,Ble_Tet,3,t6,5234.14071510957,0,0,8.15821307001997,0,96
178,sample_0016,2019-01-18,10,1,Ble_Pca,1,t6,0,146.003882184151,0,8.04568599319211,0,96
179,sample_0017,2019-01-18,10,1,Ble_Pca,2,t6,0,120.010127436915,0,8.49579430050356,2.41933215179903,96
180,sample_0018,2019-01-18,10,1,Ble_Pca,3,t6,0,95.5354882268546,0,2.64438630545475,0,96
181,sample_0019,2019-01-18,10,1,Ble_Col,1,t6,0,0,1853.03963766281,0,6.7516246096717,96
182,sample_0020,2019-01-18,10,1,Ble_Col,2,t6,0,0,1525.36078994008,7.42678707063887,0,96
183,sample_0021,2019-01-18,10,1,Ble_Col,3,t6,0,0,1394.15421835879,0,0,96
184,sample_0022,2019-01-18,10,1,Tet_Ble_Pca,1,t6,4090.75308746167,139.308521112893,0,10.8588629138887,0,96
185,sample_0023,2019-01-18,10,1,Tet_Ble_Pca,2,t6,3567.89602498101,200.466987368836,0,8.3832672236757,0,96
186,sample_0024,2019-01-18,10,1,Tet_Ble_Pca,3,t6,4014.68478352604,159.957239710805,0,0,0,96
187,sample_0025,2019-01-18,10,1,Tet_Ble_Col,1,t6,3429.65651109798,0,1317.01690719329,0,0,96
188,sample_0026,2019-01-18,10,1,Tet_Ble_Col,2,t6,2738.17762399077,0,1242.07387402594,0,0,96
